uid	sid
0	0
0	1
0	2
0	3
1	5
1	6
1	7
1	8
1	9
1	10
1	12
1	14
1	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
3	26
3	27
3	28
3	29
3	30
3	31
3	32
4	33
4	34
4	35
4	1
4	36
4	37
4	38
4	39
4	40
4	41
4	42
4	43
4	44
4	45
5	47
5	7
5	48
5	49
5	50
5	51
5	52
5	53
5	54
5	55
5	56
6	57
6	59
6	60
7	61
7	62
7	4
7	64
8	65
8	66
8	67
8	68
8	69
8	70
8	71
8	72
8	73
8	74
9	75
9	76
9	78
9	79
9	81
9	82
9	83
10	85
10	86
10	87
10	88
10	89
10	90
11	91
11	93
11	95
11	96
12	27
12	97
12	98
12	86
12	101
12	59
12	10
12	103
12	104
12	105
12	106
12	107
12	108
12	109
13	110
13	111
13	7
13	28
13	113
14	115
14	116
14	58
14	4
14	117
15	68
15	118
15	119
15	58
15	120
15	121
15	3
15	122
16	125
16	33
16	126
16	127
16	128
16	129
16	103
16	132
16	133
16	134
16	135
16	73
16	136
16	54
16	138
16	139
16	140
16	141
17	142
17	61
17	146
17	149
17	150
17	151
17	152
18	154
18	49
18	89
18	156
18	157
19	160
19	161
19	162
19	165
19	9
19	86
19	167
19	168
19	4
19	141
20	171
20	172
20	173
20	174
21	175
21	34
21	176
21	178
21	52
22	181
22	182
22	183
22	184
22	185
23	186
23	187
23	7
23	188
23	189
23	190
23	99
23	191
23	192
23	194
23	12
23	195
23	196
23	197
24	200
24	202
24	203
24	204
24	205
25	1
25	206
25	207
25	209
25	190
25	28
25	210
25	211
25	43
26	142
26	212
26	213
26	214
26	215
26	28
26	216
26	217
26	191
26	219
26	222
26	223
26	23
26	150
27	186
27	170
27	58
27	84
27	9
27	149
27	228
27	155
27	157
27	230
27	135
27	231
27	232
27	109
28	188
28	234
28	85
28	86
28	236
28	237
28	238
28	149
28	90
29	239
29	240
29	241
29	242
29	243
29	244
29	246
29	247
29	248
29	99
29	249
29	250
29	9
29	251
29	198
29	253
30	254
30	255
30	256
30	257
30	258
30	259
30	210
30	10
30	223
31	261
31	7
31	99
31	262
31	62
31	264
31	266
31	267
31	41
31	268
31	270
31	271
31	53
31	260
31	273
32	274
32	249
32	275
32	276
32	277
32	278
32	279
32	280
32	281
32	282
32	283
32	284
33	285
33	286
33	287
33	288
33	289
33	291
33	292
34	293
34	84
34	295
34	296
34	297
34	298
35	299
35	300
35	301
35	207
35	302
35	303
35	304
36	305
36	262
36	102
36	307
36	45
36	273
37	308
37	33
37	311
37	312
37	305
37	313
37	315
37	316
37	94
37	317
37	318
37	319
37	269
37	320
37	321
37	322
37	323
37	45
37	324
37	325
37	326
37	327
37	328
37	329
38	330
38	332
38	89
38	333
38	290
38	106
39	335
39	338
39	339
39	340
39	341
39	342
39	344
39	345
39	347
39	352
39	353
39	354
39	355
40	99
40	84
40	357
40	358
40	260
40	307
40	359
40	360
40	361
41	221
41	362
41	194
41	11
41	41
41	318
41	12
41	198
41	45
42	365
42	367
42	368
42	364
42	360
42	369
43	370
43	92
43	372
43	334
43	374
44	126
44	172
44	259
44	376
44	20
44	378
45	379
45	380
45	262
45	382
45	384
45	385
45	153
46	386
46	7
46	387
46	12
46	269
46	389
46	390
47	234
47	163
47	84
47	391
47	392
47	198
47	393
48	394
48	299
48	395
48	156
48	396
48	306
48	397
48	124
48	398
48	399
48	400
48	401
48	44
49	33
49	35
49	1
49	402
49	403
49	28
49	84
49	59
49	264
49	11
49	404
49	4
49	260
49	367
49	364
49	44
49	406
49	360
49	407
50	65
50	409
50	411
50	34
50	375
50	412
50	413
50	414
50	37
50	207
50	313
50	415
50	209
50	416
50	417
50	418
50	59
50	420
50	12
50	230
50	421
50	20
50	422
51	423
51	79
51	424
51	425
51	427
51	419
51	227
51	430
51	431
51	333
51	378
51	354
51	389
52	433
52	207
52	434
52	435
52	436
52	3
52	437
52	20
53	339
53	402
53	440
53	174
53	58
53	395
53	103
53	441
53	124
53	442
54	299
54	443
54	444
54	307
54	446
55	447
55	433
55	190
55	448
55	449
55	450
55	451
55	452
55	453
55	454
55	20
55	456
56	127
56	9
56	457
56	156
56	194
56	40
56	150
57	48
57	458
57	215
57	459
57	460
57	461
58	462
58	463
58	464
58	467
58	468
59	469
59	471
59	20
59	364
59	198
59	232
59	199
59	475
59	476
60	477
60	37
60	478
60	113
