uid	sid
0	0
0	2
0	3
1	5
1	7
2	8
2	9
2	10
2	14
3	15
3	16
3	17
3	18
3	19
4	20
4	21
4	22
5	23
5	26
5	28
6	29
6	30
6	31
7	35
8	37
8	38
8	39
9	40
9	41
9	42
9	43
9	44
10	45
10	46
10	47
10	48
11	50
11	51
11	52
12	53
12	55
12	56
13	57
13	58
13	59
14	60
15	63
15	64
15	65
15	66
15	67
16	69
16	70
16	71
16	72
17	75
18	76
18	77
18	78
19	79
19	80
19	81
20	82
20	83
20	84
21	85
21	86
21	87
22	88
22	91
22	92
22	93
22	94
23	95
23	96
23	97
23	99
23	101
24	104
25	105
25	106
26	108
26	110
26	112
26	113
26	114
26	115
26	116
27	117
27	118
27	119
27	120
27	121
28	124
28	125
28	126
28	127
28	128
28	129
28	130
28	131
28	132
28	133
29	134
29	136
30	137
30	138
30	139
31	140
31	141
31	142
31	144
31	145
31	146
32	147
32	148
32	149
33	151
33	152
33	153
34	154
34	155
34	156
34	157
34	158
35	159
35	160
35	162
36	163
36	165
36	166
37	170
37	171
37	172
37	174
37	175
37	176
37	177
37	178
38	179
38	180
38	181
38	183
38	184
39	187
39	188
40	189
40	190
42	195
42	196
42	197
43	8
43	198
43	199
44	200
44	201
44	203
44	204
45	205
45	206
45	207
45	208
45	209
46	211
46	212
47	213
48	216
48	217
48	218
49	219
49	220
49	221
50	222
50	223
50	224
50	225
51	226
51	227
51	229
52	230
52	231
52	232
52	233
52	234
52	235
52	236
52	237
53	239
53	240
54	242
54	243
54	244
54	245
55	246
55	247
56	250
56	251
56	252
57	254
57	255
58	256
58	257
58	258
58	259
58	227
58	261
58	262
59	265
60	267
60	225
60	268
60	269
61	270
61	271
62	273
62	274
62	275
62	276
62	277
63	278
63	279
63	280
63	281
64	282
64	283
64	284
64	285
64	286
64	287
64	288
64	289
64	291
65	293
65	294
66	296
66	297
67	300
67	301
67	302
67	303
68	304
68	305
68	307
69	308
69	309
69	310
70	311
70	312
70	313
70	314
70	315
70	316
71	317
71	318
71	319
72	320
72	321
72	322
73	325
73	326
73	327
73	328
73	329
73	330
73	331
74	332
74	333
74	335
74	336
74	337
75	338
75	339
75	340
76	341
77	345
77	346
78	347
78	348
78	349
79	351
79	352
80	353
80	354
80	355
81	358
81	361
82	362
82	363
82	364
83	365
83	366
83	367
83	368
83	369
84	370
84	371
84	372
84	373
85	375
85	376
85	377
86	379
86	381
86	382
87	383
87	384
87	385
88	386
88	97
88	387
88	388
89	389
89	390
89	391
90	392
90	393
90	394
91	395
91	396
91	397
91	398
91	399
92	302
92	400
92	402
93	405
94	406
94	408
94	409
94	411
95	413
95	414
95	415
95	416
96	417
96	420
97	421
97	423
98	424
98	425
98	426
98	427
99	428
99	430
99	431
99	432
99	433
100	434
100	435
100	436
101	437
101	438
101	439
102	440
102	441
102	442
103	443
103	444
103	445
104	446
104	447
105	420
105	448
106	450
106	451
106	452
107	453
107	455
107	457
107	458
107	459
107	460
107	461
107	462
107	463
107	464
107	465
107	466
108	467
108	469
109	470
109	471
109	472
109	127
110	473
110	474
110	475
111	476
111	478
111	479
112	480
112	481
112	482
113	483
113	484
113	485
114	486
114	488
114	489
115	490
115	491
115	492
115	493
116	496
116	497
116	498
116	499
117	501
117	503
117	504
117	505
118	506
118	508
118	509
119	510
119	511
119	512
119	513
120	515
120	516
120	519
121	520
121	521
121	522
121	523
122	524
122	525
122	526
123	527
123	528
123	529
124	530
124	531
124	532
124	533
124	535
125	536
125	537
125	538
125	539
125	540
125	541
125	542
126	544
126	546
127	547
127	548
127	549
127	550
128	551
128	552
128	553
128	554
128	555
129	556
129	558
130	560
130	561
131	562
131	563
131	565
132	566
132	567
132	568
132	511
133	569
133	63
133	570
133	571
134	573
134	574
134	575
134	576
134	577
134	578
134	580
135	581
135	582
135	132
136	584
136	586
136	587
